date,event
2015-08-15,Assumption of Mary
2015-11-15,Buen Fin
2015-12-12,Day of the Virgin of Guadalupe
2015-12-25,Christmas Day
2015-12-28,Day of the Holy Innocents
2015-12-31,New Year's Eve
2016-01-01,New Year's Day
2016-01-06,Day of the Holy Kings
2016-02-10,Ash Wednesday
2016-02-14,Valentine's Day
2016-03-20,Palm Sunday
2016-03-25,Good Friday
2016-03-26,Holy Saturday
2016-03-27,Easter Sunday
2016-05-10,Mother's Day
2016-06-19,Father's Day
2016-08-15,Assumption of Mary
2016-11-20,Buen Fin
2016-12-12,Day of the Virgin of Guadalupe
2016-12-25,Christmas Day
2016-12-28,Day of the Holy Innocents
2016-12-31,New Year's Eve
2017-01-01,New Year's Day
2017-01-06,Day of the Holy Kings
2017-02-14,Valentine's Day
2017-03-01,Ash Wednesday
2017-04-09,Palm Sunday
2017-04-14,Good Friday
2017-04-15,Holy Saturday
2017-04-16,Easter Sunday
2017-05-10,Mother's Day
2017-06-18,Father's Day
2017-08-15,Assumption of Mary
2017-11-20,Buen Fin
2017-12-12,Day of the Virgin of Guadalupe
2017-12-25,Christmas Day
2017-12-28,Day of the Holy Innocents
2017-12-31,New Year's Eve
2018-01-01,New Year's Day
2018-01-06,Day of the Holy Kings
2018-02-14,Valentine's Day
2018-03-25,Palm Sunday
2018-03-30,Good Friday
2018-03-31,Holy Saturday
2018-04-01,Easter Sunday
2018-05-10,Mother's Day
2018-06-17,Father's Day
2018-08-15,Assumption of Mary
2018-11-18,Buen Fin
2018-12-12,Day of the Virgin of Guadalupe
2018-12-25,Christmas Day
2018-12-28,Day of the Holy Innocents
2018-12-31,New Year's Eve
2019-01-01,New Year's Day
2019-01-06,Day of the Holy Kings
2019-02-14,Valentine's Day
2019-03-06,Ash Wednesday
2019-04-14,Palm Sunday
2019-04-19,Good Friday
2019-04-20,Holy Saturday
2019-04-21,Easter Sunday
2019-05-10,Mother's Day
2019-06-16,Father's Day
2019-08-15,Assumption of Mary
2019-11-15,Buen Fin
2019-12-12,Day of the Virgin of Guadalupe
2019-12-25,Christmas Day
2019-12-28,Day of the Holy Innocents
2019-12-31,New Year's Eve
2020-01-01,New Year's Day
2020-01-06,Day of the Holy Kings
2020-02-14,Valentine's Day
2020-02-26,Ash Wednesday
2020-05-10,Mother's Day
2020-06-21,Father's Day
2020-08-15,Assumption of Mary
2020-11-18,Buen Fin
2020-12-12,Day of the Virgin of Guadalupe
2020-12-25,Christmas Day
2020-12-28,Day of the Holy Innocents
2020-12-31,New Year's Eve
2021-01-01,New Year's Day
2021-01-06,Day of the Holy Kings
2021-02-14,Valentine's Day
2021-02-17,Ash Wednesday
2021-03-28,Palm Sunday
2021-04-02,Good Friday
2021-04-03,Holy Saturday
2021-04-04,Easter Sunday
2021-05-10,Mother's Day
2021-06-20,Father's Day
2021-08-15,Assumption of Mary
2021-11-16,Buen Fin
2021-12-12,Day of the Virgin of Guadalupe
2021-12-25,Christmas Day
2021-12-28,Day of the Holy Innocents
2021-12-31,New Year's Eve
2022-01-01,New Year's Day
2022-01-06,Day of the Holy Kings
2022-02-14,Valentine's Day
2022-04-10,Palm Sunday
2022-04-15,Good Friday (regional only)
2022-04-17,Easter Sunday
2022-05-10,Mother's Day
2022-06-12,Father's Day
2022-08-15,Assumption of Mary
2022-11-21,Buen Fin
2022-12-12,Day of the Virgin of Guadalupe
2022-12-25,Christmas Day
2022-12-28,Day of the Holy Innocents
2022-12-31,New Year's Eve
2023-01-01,New Year's Day
2023-01-06,Day of the Holy Kings
2023-02-14,Valentine's Day
2023-04-02,Palm Sunday
2023-04-07,Good Friday (regional only)
2023-04-09,Easter Sunday
2023-05-10,Mother's Day
2023-06-11,Father's Day
2023-08-15,Assumption of Mary
2023-11-18,Buen Fin
2023-12-12,Day of the Virgin of Guadalupe
2023-12-25,Christmas Day
2023-12-28,Day of the Holy Innocents
2023-12-31,New Year's Eve
2024-01-01,New Year's Day
2024-01-06,Day of the Holy Kings
2024-02-14,Valentine's Day
2024-03-24,Palm Sunday
2024-03-29,Good Friday (regional only)
2024-03-31,Easter Sunday
2024-05-10,Mother's Day
2024-06-09,Father's Day
2024-08-15,Assumption of Mary
2024-11-16,Buen Fin
2024-12-12,Day of the Virgin of Guadalupe
2024-12-25,Christmas Day
2024-12-28,Day of the Holy Innocents
2024-12-31,New Year's Eve
2025-01-01,New Year's Day
2025-01-06,Day of the Holy Kings
2025-02-14,Valentine's Day
2025-04-13,Palm Sunday
2025-04-18,Good Friday (regional only)
2025-04-20,Easter Sunday
2025-05-10,Mother's Day
2025-06-08,Father's Day
2025-08-15,Assumption of Mary
2025-11-15,Buen Fin
2025-12-12,Day of the Virgin of Guadalupe
2025-12-25,Christmas Day
2025-12-28,Day of the Holy Innocents
2025-12-31,New Year's Eve
2026-01-01,New Year's Day
2026-01-06,Day of the Holy Kings
2026-02-14,Valentine's Day
2026-03-29,Palm Sunday
2026-04-03,Good Friday (regional only)
2026-04-05,Easter Sunday
2026-05-10,Mother's Day
2026-06-14,Father's Day
2026-08-15,Assumption of Mary
2026-11-21,Buen Fin
2026-12-12,Day of the Virgin of Guadalupe
2026-12-25,Christmas Day
2026-12-28,Day of the Holy Innocents
2026-12-31,New Year's Eve